,0
2090,82876509
2091,82888727
2092,82957885
2093,82984610
2094,82991593
2095,83002375
2096,83008701
2097,83011785
2098,83132983
2099,83139243
2100,83209005
2101,83223905
2102,83228456
2103,83245215
2104,83249691
2105,83253574
2106,83262023
2107,83316545
2108,83317563
2109,83348484
2110,83356384
2111,83414094
2112,83430111
2113,83439945
2114,83457352
2115,83546537
2116,83564742
2117,83573271
2118,83577125
2119,83579032
2120,83615924
2121,83640308
2122,83644046
2123,83646282
2124,83653311
2125,83672054
2126,83733519
2127,83760139
2128,83761767
2129,83795436
2130,83877178
2131,83931232
2132,83972827
2133,83990742
2134,84033789
2135,84178560
2136,84184468
2137,84204101
2138,84216061
2139,84246129
2140,84251571
2141,84281766
2142,84302002
2143,84302479
2144,84350145
2145,84362252
